year,vehicle_name_x,vehicle_name_clean,model,engine_specs,Mpg/Other/Price - Base MSRP,Category,vehicle_name_y,Electrified,seating,vehicle_name
2025,Grand Highlander Hybrid,Grand Highlander Hybrid,Hybrid Limited,2.5L 4-Cyl. ECVT Engine All-Wheel Drive,,Crossovers,Grand Highlander Hybrid,Yes,8.0,Grand Highlander Hybrid
2025,Grand Highlander Hybrid,Grand Highlander Hybrid,Hybrid MAX Platinum,2.4-Liter 4-Cylinder Turbocharged Hybrid MAX Engine All-Wheel Drive,,Crossovers,Grand Highlander Hybrid,Yes,8.0,Grand Highlander Hybrid
2025,Gr Corolla,GR Corolla,Core,1.6L 3-Cyl. Turbo Engine All-Wheel Drive MT,,Cars,GR Corolla,No,5.0,GR Corolla
2025,Gr Corolla,GR Corolla,Premium,1.6L 3-Cyl. Turbo Engine All-Wheel Drive MT,,Cars,GR Corolla,No,5.0,GR Corolla
2025,Gr Corolla,GR Corolla,Premium Plus,1.6L 3-Cyl. Turbo Engine All-Wheel Drive MT,,Cars,GR Corolla,No,5.0,GR Corolla
2025,Gr Supra,GR Supra,3.0,3.0L Inline-6 Cyl. Turbo Engine Rear-Wheel Drive,,Cars,GR Supra,No,,
2025,Gr Supra,GR Supra,3.0 Premium,3.0L Inline-6 Cyl. Turbo Engine Rear-Wheel Drive,,Cars,GR Supra,No,,
2025,Highlander Hybrid,Highlander Hybrid,LE,2.4L 4-Cyl. Turbo Engine Front-Wheel Drive,,Crossovers,Highlander Hybrid,Yes,8.0,Highlander Hybrid
2025,Highlander Hybrid,Highlander Hybrid,Hybrid XLE Nightshade,2.5L 4-Cyl. Engine All-Wheel Drive,,Crossovers,Highlander Hybrid,Yes,8.0,Highlander Hybrid
2025,Highlander Hybrid,Highlander Hybrid,Hybrid Platinum,2.5L 4-Cyl. Engine All-Wheel Drive,,Crossovers,Highlander Hybrid,Yes,8.0,Highlander Hybrid
2025,Land Cruiser,Land Cruiser,Land Cruiser 1958,2.4L 4-Cyl. i-FORCE MAX Hybrid Engine 4-Wheel Drive,,SUVs,Land Cruiser,Yes,5.0,Land Cruiser
2025,Land Cruiser,Land Cruiser,Land Cruiser,2.4L 4-Cyl. i-FORCE MAX Hybrid Engine 4-Wheel Drive,,SUVs,Land Cruiser,Yes,5.0,Land Cruiser
2025,Mirai,Mirai,XLE,Toyota Fuel Cell System (TFCS) with (RWD) Single Speed,,Cars,Mirai,Yes,5.0,Mirai
2025,Prius Plug-In Hybrid,Prius Plug-In Hybrid,SE,2.0L 4-Cyl. ECVT FWD,,Cars,Prius Plug-in Hybrid,Yes,5.0,Prius Plug-in Hybrid
2025,Prius Plug-In Hybrid,Prius Plug-In Hybrid,XSE,2.0L 4-Cyl. ECVT FWD,,Cars,Prius Plug-in Hybrid,Yes,5.0,Prius Plug-in Hybrid
2025,Prius Plug-In Hybrid,Prius Plug-In Hybrid,XSE Premium,2.0L 4-Cyl. ECVT FWD,,Cars,Prius Plug-in Hybrid,Yes,5.0,Prius Plug-in Hybrid
2025,Prius,Prius,LE,2.0L 4-Cyl. Hybrid Engine Front-Wheel Drive,"$28,350",Cars,Prius,Yes,5.0,Prius
2025,Prius,Prius,Nightshade Edition,2.0L 4-Cyl. Hybrid Engine Front-Wheel Drive,"$32,560",Cars,Prius,Yes,5.0,Prius
2025,Prius,Prius,Limited,2.0L 4-Cyl. Hybrid Engine Front-Wheel Drive,"$35,365",Cars,Prius,Yes,5.0,Prius
2025,Rav4 Hybrid,RAV4 Hybrid,Limited,2.5L 4-Cyl. Engine All-Wheel Drive,,Crossovers,RAV4 Hybrid,Yes,5.0,RAV4 Hybrid
2025,Rav4 Hybrid,RAV4 Hybrid,Hybrid Woodland Edition,2.5L 4-Cyl. Engine All-Wheel Drive,,Crossovers,RAV4 Hybrid,Yes,5.0,RAV4 Hybrid
2025,Rav4 Hybrid,RAV4 Hybrid,Hybrid XSE,2.5L 4-Cyl. Engine All-Wheel Drive,,Crossovers,RAV4 Hybrid,Yes,5.0,RAV4 Hybrid
2025,Rav4 Plug-In Hybrid,RAV4 Plug-In Hybrid,SE,2.5L 4-Cyl. Plug-in Hybrid Engine All-Wheel Drive,,Crossovers,RAV4 Plug-in Hybrid,Yes,5.0,RAV4 Plug-in Hybrid
2025,Rav4 Plug-In Hybrid,RAV4 Plug-In Hybrid,XSE,2.5L 4-Cyl. Plug-in Hybrid Engine All-Wheel Drive,,Crossovers,RAV4 Plug-in Hybrid,Yes,5.0,RAV4 Plug-in Hybrid
2025,Sequoia,Sequoia,SR5,2WD i-FORCE MAX Twin Turbo V6 Hybrid,,SUVs,Sequoia,Yes,8.0,Sequoia
2025,Sequoia,Sequoia,Limited,2WD i-FORCE MAX Twin Turbo V6 Hybrid,,SUVs,Sequoia,Yes,8.0,Sequoia
2025,Sequoia,Sequoia,1794 Edition,4WD i-FORCE MAX Twin Turbo V6 Hybrid,,SUVs,Sequoia,Yes,8.0,Sequoia
2025,Toyota Crown Signia,Toyota Crown Signia,XLE,2.5L 4-Cyl. Hybrid Engine All-Wheel Drive,,Crossovers,Toyota Crown Signia,Yes,5.0,Toyota Crown Signia
2025,Toyota Crown Signia,Toyota Crown Signia,Limited,2.5L 4-Cyl. Hybrid Engine All-Wheel Drive,,Crossovers,Toyota Crown Signia,Yes,5.0,Toyota Crown Signia
2025,Toyota Crown,Toyota Crown,XLE,2.5L 4-Cyl. Hybrid Engine All-Wheel Drive,,Cars,Toyota Crown,Yes,5.0,Toyota Crown
2025,Toyota Crown,Toyota Crown,Limited,2.5L 4-Cyl. Hybrid Engine All-Wheel Drive,,Cars,Toyota Crown,Yes,5.0,Toyota Crown
2025,Toyota Crown,Toyota Crown,Platinum,2.4L 4-Cyl. Turbo Hybrid MAX All-Wheel Drive,,Cars,Toyota Crown,Yes,5.0,Toyota Crown
2026,Gr Supra,GR Supra,3.0,3.0L Inline-6 Cyl. Turbo Engine Rear-Wheel Drive,,Cars,GR Supra,No,,
2026,Gr Supra,GR Supra,3.0 Premium,3.0L Inline-6 Cyl. Turbo Engine Rear-Wheel Drive,,Cars,GR Supra,No,,
2026,Gr Supra,GR Supra,MkV Final Edition,MkV Final Edition 3.0L Inline-6 Cyl. Turbo Engine Rear-Wheel Drive,,Cars,GR Supra,No,,
2026,Toyota Crown,Toyota Crown,XLE,2.5L 4-Cyl. Hybrid Engine All-Wheel Drive,,Cars,Toyota Crown,Yes,5.0,Toyota Crown
2026,Toyota Crown,Toyota Crown,Limited,2.5L 4-Cyl. Hybrid Engine All-Wheel Drive,,Cars,Toyota Crown,Yes,5.0,Toyota Crown
2026,Toyota Crown,Toyota Crown,Platinum,2.4L 4-Cyl. Turbo Hybrid MAX All-Wheel Drive,,Cars,Toyota Crown,Yes,5.0,Toyota Crown
